trn_site,test_site,share_encoder,no_mode,int_mode,threshold,s_l,value
Site_24,Site_26,True,False,True,3.0,s,0.19064299762248993
Site_24,Site_26,True,False,True,3.0,l,
Site_24,Site_26,True,False,True,4.0,s,0.19004739820957184
Site_24,Site_26,True,False,True,4.0,l,
Site_24,Site_26,True,False,True,5.0,s,0.18278060853481293
Site_24,Site_26,True,False,True,5.0,l,
Site_5,Site_1,True,False,True,0.5,s,0.5506304502487183
Site_5,Site_1,True,False,True,0.5,l,0.9258901476860046
Site_5,Site_1,True,False,True,1.0,s,0.5149793028831482
Site_5,Site_1,True,False,True,1.0,l,0.9245895147323608
Site_5,Site_1,True,False,True,2.0,s,0.5800898671150208
Site_5,Site_1,True,False,True,2.0,l,0.9313688278198242
Site_5,Site_1,True,False,True,3.0,s,0.6244253516197205
Site_5,Site_1,True,False,True,3.0,l,0.9389269351959229
Site_5,Site_1,True,False,True,4.0,s,0.7103541493415833
Site_5,Site_1,True,False,True,4.0,l,0.9413676857948303
Site_5,Site_1,True,False,True,5.0,s,0.7454879879951477
Site_5,Site_1,True,False,True,5.0,l,0.9460623264312744
Site_23,Site_26,True,True,False,0.5,s,0.48982131481170654
Site_23,Site_26,True,True,False,0.5,l,1.0034217834472656
Site_23,Site_26,True,True,False,1.0,s,0.38878315687179565
Site_23,Site_26,True,True,False,1.0,l,1.0000730752944946
